시도명,시군구명,호선명,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소
서울특별시,영등포구,5호선,여의도,49.3,21.8,826,8.6,0.5
서울특별시,영등포구,5호선,여의나루,42.2,19.1,658,6.6,0.3
서울특별시,마포구,5호선,마포,46,20.1,419,7.8,0.6
서울특별시,마포구,5호선,공덕,25,12.3,444,6.2,0.4
서울특별시,마포구,5호선,애오개,35.9,17.6,456,4.7,0.7
서울특별시,서대문구,5호선,충정로,29.5,15.6,438,5.4,0.4
서울특별시,종로구,5호선,서대문,29.6,16.6,406,5.3,0.5
서울특별시,종로구,5호선,광화문,30.4,14.1,514,5.8,0.5
서울특별시,종로구,5호선,종로3가,44.3,21,478,7.8,0.4
서울특별시,중구,5호선,을지로4가,32.9,15.3,381,5,0.6
서울특별시,중구,5호선,동대문역사문화공원,32.7,17,350,8.5,0.5
서울특별시,중구,5호선,청구,36.9,16.8,342,7.4,1
서울특별시,성동구,5호선,신금호,29.4,15.4,381,4.6,0.6
서울특별시,성동구,5호선,행당,21.4,10.9,341,3.2,0.4
서울특별시,성동구,5호선,왕십리,27.6,14.8,507,7.9,0.5
서울특별시,성동구,5호선,마장,32.1,16.6,407,7.8,0.5
서울특별시,성동구,5호선,답십리,26.9,14,395,8.3,0.4
서울특별시,동대문구,5호선,장한평,47.4,22.4,431,6.6,0.3
서울특별시,광진구,5호선,군자,31.4,13.7,481,7.8,0.3
서울특별시,광진구,5호선,아차산,42,21.4,429,8.7,0.6
서울특별시,광진구,5호선,광나루,30.6,19.6,411,8.8,0.4
서울특별시,강동구,5호선,천호,59.1,27.9,433,6.6,0.4
서울특별시,강동구,5호선,강동,29,15.9,484,8,0.5
서울특별시,강동구,5호선,길동,38.5,19.7,495,6.9,0.6
서울특별시,강동구,5호선,굽은다리,30.9,18.2,501,7.9,0.5
서울특별시,강동구,5호선,명일,45.1,29.2,503,6.2,0.4
서울특별시,강동구,5호선,고덕,39.1,19.2,484,6.8,0.5
서울특별시,강동구,5호선,상일동,50.1,23.5,533,6.1,0.5
서울특별시,강동구,5호선,강일,40.5,22.3,453,6.2,0.4
경기도,하남시,5호선,미사,51.6,30.9,469,7.3,0.5
경기도,하남시,5호선,하남풍산,41.6,22.9,456,9.2,0.5
경기도,하남시,5호선,하남시청,35.3,21.3,481,5.4,0.6
경기도,하남시,5호선,하남검단산,26.5,16.4,463,6.4,0.4
서울특별시,강동구,5호선,둔촌동,34,23.3,523,7.9,0.7
서울특별시,송파구,5호선,올림픽공원,34.1,23.6,496,8.8,0.6
서울특별시,송파구,5호선,방이,31.7,16.4,482,6.6,0.5
서울특별시,송파구,5호선,오금,28.9,17.4,463,6.8,0.5
서울특별시,송파구,5호선,개롱,29.9,20,474,5.7,0.3
서울특별시,송파구,5호선,거여,30.6,19.4,486,7.5,0.3
서울특별시,송파구,5호선,마천,35.7,21.2,489,2.9,0.5
서울특별시,은평구,6호선,응암,50.4,29.9,514,10.9,0.4
서울특별시,은평구,6호선,역촌,56,37.7,494,14.9,0.6
서울특별시,은평구,6호선,불광,38.8,26.9,558,16.5,1
서울특별시,은평구,6호선,독바위,25.5,17.3,447,8.7,0.5
서울특별시,은평구,6호선,연신내,38.3,24.9,534,9,0.4
서울특별시,은평구,6호선,구산,31.6,19.6,479,8.3,0.5
서울특별시,은평구,6호선,새절,31.3,19.4,481,6.5,0.3
서울특별시,은평구,6호선,증산,32.6,15.7,478,6.1,0.3
서울특별시,은평구,6호선,디지털미디어시티,34.8,16.1,500,3.8,0.4
서울특별시,마포구,6호선,월드컵경기장,27.7,15.9,454,6.3,0.3
서울특별시,마포구,6호선,마포구청,42.7,25.2,533,3.4,0.5
서울특별시,마포구,6호선,망원,39.9,24.4,531,7.1,0.7
서울특별시,마포구,6호선,합정,42.1,21.2,579,6.7,0.4
서울특별시,마포구,6호선,상수,42,20.8,499,5.7,0.3
서울특별시,마포구,6호선,광흥창,33.5,20,464,7,0.3
서울특별시,마포구,6호선,대흥,34,21.2,491,7.8,0.6
서울특별시,마포구,6호선,공덕,28.5,13.3,503,5.9,0.6
서울특별시,용산구,6호선,효창공원앞,37.2,18.4,515,11.4,0.4
서울특별시,용산구,6호선,삼각지,45.2,23.1,583,7.8,0.7
서울특별시,용산구,6호선,녹사평,32.6,17.6,477,9.6,0.5
서울특별시,용산구,6호선,이태원,31.3,18.7,541,7.5,0.3
서울특별시,용산구,6호선,한강진,39,21.5,493,9.3,0.3
서울특별시,중구,6호선,버티고개,45.4,18.2,505,7.3,0.6
서울특별시,중구,6호선,약수,37.1,21,581,5.9,0.7
서울특별시,중구,6호선,청구,39.8,25.1,488,10.9,0.3
서울특별시,중구,6호선,신당,27.4,18.5,557,10.7,0.8
서울특별시,종로구,6호선,동묘앞,40.6,24.5,592,12.7,0.5
서울특별시,종로구,6호선,창신,34.1,24.3,485,8.6,0.4
서울특별시,성북구,6호선,보문,44.3,25.3,510,10.5,0.3
서울특별시,성북구,6호선,안암,40.3,19.7,553,9.8,0.9
서울특별시,성북구,6호선,고려대,30,18.4,492,19.6,0.7
서울특별시,성북구,6호선,월곡,39.6,19,485,5.8,0.3
서울특별시,성북구,6호선,상월곡,25.9,13.7,463,4.6,0.5
서울특별시,성북구,6호선,돌곶이,29.7,14.2,486,4,0.4
서울특별시,노원구,6호선,석계,30.4,15.9,545,4.8,0.5
서울특별시,노원구,6호선,태릉입구,28.6,16.5,479,6.2,0.3
서울특별시,노원구,6호선,화랑대,28.7,14.2,496,7.4,0.5
서울특별시,중랑구,6호선,봉화산,33.6,16,470,7,0.4
서울특별시,노원구,7호선,수락산,37,19.5,502,10,0.4
서울특별시,노원구,7호선,마들,27.8,15.2,555,10.1,0.6
서울특별시,노원구,7호선,노원,41.4,24.5,527,9,0.6
서울특별시,노원구,7호선,중계,32.4,18.4,509,8.4,0.5
서울특별시,노원구,7호선,하계,35.2,18.9,561,9.5,0.5
서울특별시,노원구,7호선,공릉,37.9,22.9,543,8.7,0.7
서울특별시,노원구,7호선,태릉입구,33.1,16.6,487,10.4,0.5
서울특별시,중랑구,7호선,먹골,31.5,16.2,463,8.5,0.4
서울특별시,중랑구,7호선,중화,30.6,14.7,536,10,0.6
서울특별시,중랑구,7호선,상봉,34.6,24.2,576,11.1,0.6
서울특별시,중랑구,7호선,면목,27,18.1,765,6.8,0.4
서울특별시,중랑구,7호선,사가정,37.7,18.8,666,7.3,0.4
서울특별시,중랑구,7호선,용마산,36.5,16.8,479,8,0.4
서울특별시,광진구,7호선,중곡,30.7,19.4,500,6.7,0.4
서울특별시,광진구,7호선,군자,40.3,19.8,514,6.3,0.4
서울특별시,광진구,7호선,어린이대공원,26.4,13.1,693,8.9,0.4
서울특별시,광진구,7호선,건대입구,29.7,13.6,544,12.6,0.6
서울특별시,강남구,7호선,청담,24.6,15.4,583,10.6,0.6
서울특별시,강남구,7호선,강남구청,26.5,18.4,622,10.3,0.4
서울특별시,강남구,7호선,학동,34.3,19.7,724,12.3,0.4
서울특별시,강남구,7호선,논현,30.3,17.9,561,11.7,0.5
서울특별시,서초구,7호선,반포,27.7,12.7,734,11.6,0.5
서울특별시,서초구,7호선,고속터미널,42.5,25.6,692,18.8,0.5
서울특별시,서초구,7호선,내방,40.1,21.3,491,11.6,0.4
서울특별시,동작구,7호선,이수,33.7,21.2,579,11.3,0.5
서울특별시,동작구,7호선,남성,48.6,20.6,690,14.2,0.4
서울특별시,동작구,7호선,숭실대입구,42.1,25.1,713,12.3,0.5
서울특별시,동작구,7호선,상도,50.9,29.9,550,15.5,0.6
서울특별시,동작구,7호선,장승배기,45.9,28.6,540,17.9,0.8
서울특별시,동작구,7호선,신대방삼거리,28.8,19.1,540,14.7,0.6
서울특별시,영등포구,7호선,보라매,40.9,24.1,528,15.5,0.5
서울특별시,영등포구,7호선,신풍,31.2,16.2,716,10,0.4
서울특별시,영등포구,7호선,대림,27.5,16.5,859,11.4,0.5
서울특별시,구로구,7호선,남구로,27.5,14.1,636,16.2,0.7
서울특별시,금천구,7호선,가산디지털단지,29.3,15.3,672,16.9,0.5
경기도,광명시,7호선,철산,29.2,13.9,546,14.1,0.4
경기도,광명시,7호선,광명사거리,36.2,18.4,535,14.1,0.4
서울특별시,구로구,7호선,천왕,47.8,23.8,525,7.2,0.5
서울특별시,구로구,7호선,온수,30.9,17.4,516,15.6,0.3
서울특별시,강동구,8호선,암사,39.1,18,731,16.4,0.4
서울특별시,강동구,8호선,천호,27.3,13.5,574,18.8,0.5
서울특별시,송파구,8호선,강동구청,28.2,13.7,587,17.8,0.5
서울특별시,송파구,8호선,몽촌토성,55.2,33.1,493,12.4,0.5
서울특별시,송파구,8호선,잠실,33.5,16.2,885,11.1,0.3
서울특별시,송파구,8호선,석촌,47.8,22.7,542,16,0.4
서울특별시,송파구,8호선,송파,33.6,17.3,738,13.1,0.3
