"시도명",시군구명,측정연도,지하철호선명,지하철역사명,측정위치,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물,관리기관명,데이터기준일자
"서울특별시",동대문구,2022,2호선,신설동(2),승강장 및 대합실,24.4,17.6,455,6.6,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",구로구,2022,2호선,도림천,승강장 및 대합실,67.2,24.7,450,5.5,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",양천구,2022,2호선,양천구청,승강장 및 대합실,46.9,23.4,438,9.1,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",양천구,2022,2호선,신정네거리,승강장 및 대합실,46.4,27.7,450,12.1,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,3호선,구파발,승강장 및 대합실,32.7,22.7,470,6.6,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,3호선,연신내(3),승강장 및 대합실,44.1,21.3,459,8.4,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,3호선,불광(3),승강장 및 대합실,51.2,24.2,532,4.8,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,3호선,녹번,승강장 및 대합실,36.1,21.5,454,4.6,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",서대문구,2022,3호선,홍제,승강장 및 대합실,28.8,19.3,473,11.1,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",서대문구,2022,3호선,무악재,승강장 및 대합실,53.6,26.2,468,5.1,1.1,0,0,0,서울교통공사,2023-07-11
"서울특별시",서대문구,2022,3호선,독립문,승강장 및 대합실,43.1,26.6,483,5.9,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,3호선,경복궁,승강장 및 대합실,43.2,18.4,466,9,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,3호선,안국,승강장 및 대합실,58.4,28.2,481,8.8,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,3호선,종로3가(3),승강장 및 대합실,36.9,21,487,8.6,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,3호선,을지로3가(3),승강장 및 대합실,96.9,33.9,478,7.6,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,3호선,충무로(3),승강장 및 대합실,62.9,38.5,479,6.8,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,3호선,동대입구,승강장 및 대합실,68.9,28.9,474,7.9,1,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,3호선,약수(3),승강장 및 대합실,41.6,24.2,465,11.7,0.9,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,3호선,금호,승강장 및 대합실,48,21.4,477,10.6,0.9,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,압구정,승강장 및 대합실,43,26.7,541,13.7,0.9,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,신사,승강장 및 대합실,51.5,31.2,505,16.6,1,0,0,0,서울교통공사,2023-07-11
"서울특별시",서초구,2022,3호선,잠원,승강장 및 대합실,24.2,15.7,460,4.9,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",서초구,2022,3호선,고속터미널(3),승강장 및 대합실,31.3,19.4,533,7.8,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",서초구,2022,3호선,교대(3),승강장 및 대합실,34.2,22.8,504,8.5,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",서초구,2022,3호선,남부터미널,승강장 및 대합실,32.4,21.7,472,10.4,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",서초구,2022,3호선,양재,승강장 및 대합실,37.3,19.7,460,9.1,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,매봉,승강장 및 대합실,30.1,21.5,472,12.3,0.9,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,도곡,승강장 및 대합실,36.5,21.1,460,8.7,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,대치,승강장 및 대합실,31.1,23.2,468,9.2,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,학여울,승강장 및 대합실,20.3,13.1,466,9.1,1.1,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,대청,승강장 및 대합실,59.1,28.6,481,9.7,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,일원,승강장 및 대합실,48.6,22.3,488,6.1,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,3호선,수서(3),승강장 및 대합실,46.2,24.2,506,5.5,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,3호선,가락시장(3),승강장 및 대합실,21.7,13,478,5.4,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,3호선,경찰병원,승강장 및 대합실,24.5,14.6,496,5.3,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,3호선,오금(3),승강장 및 대합실,25.5,13.5,484,5.4,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",도봉구,2022,4호선,쌍문,승강장 및 대합실,50.4,29.7,505,10,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",강북구,2022,4호선,수유,승강장 및 대합실,98.7,34.5,493,10,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",강북구,2022,4호선,미아,승강장 및 대합실,49.4,23.1,480,12.2,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강북구,2022,4호선,미아사거리,승강장 및 대합실,43.8,27.1,485,11.4,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,4호선,길음,승강장 및 대합실,35.6,21.3,436,9,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,4호선,성신여대입구,승강장 및 대합실,58.4,31.7,516,12.2,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,4호선,한성대입구,승강장 및 대합실,47.1,29.5,513,10.4,0.9,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,4호선,혜화,승강장 및 대합실,36.7,22.9,467,11.9,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,4호선,동대문(4),승강장 및 대합실,56.7,29.7,485,14.4,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,4호선,동대문역사문화공원(4),승강장 및 대합실,39.5,25.3,502,10.9,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,4호선,충무로(4),승강장 및 대합실,53,30.7,491,7.9,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,4호선,명동,승강장 및 대합실,46.4,31.8,505,12,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,4호선,회현,승강장 및 대합실,40.5,25.1,466,10,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,4호선,서울역(4),승강장 및 대합실,25.1,16.8,491,6.6,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,4호선,숙대입구,승강장 및 대합실,28.8,17.2,471,7.6,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,4호선,삼각지(4),승강장 및 대합실,23.3,15.1,470,5,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,4호선,신용산,승강장 및 대합실,37.4,24.8,480,5.3,0.9,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,4호선,이촌,승강장 및 대합실,74.2,32.8,473,8.3,1,0,0,0,서울교통공사,2023-07-11
"서울특별시",동작구,2022,4호선,총신대입구(4),승강장 및 대합실,39.8,26.3,482,8.2,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",동작구,2022,4호선,사당(4),승강장 및 대합실,38.3,23,487,5.1,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",서초구,2022,4호선,남태령,승강장 및 대합실,40.8,23.7,463,4.1,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,방화,승강장 및 대합실,67.4,31.7,373,7.1,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,개화산,승강장 및 대합실,57.2,30,368,8.1,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,김포공항(5),승강장 및 대합실,48.4,27.4,400,9,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,송정,승강장 및 대합실,39.6,20.9,490,7.7,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,마곡,승강장 및 대합실,27.2,14.2,476,4,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,발산,승강장 및 대합실,23.3,11.5,476,8.2,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,우장산,승강장 및 대합실,23.6,12.3,478,8.5,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,화곡,승강장 및 대합실,23,13.3,531,7.3,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강서구,2022,5호선,까치산(5),승강장 및 대합실,41.3,22.3,559,2.7,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",양천구,2022,5호선,신정,승강장 및 대합실,59.5,26.2,497,3.2,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",양천구,2022,5호선,목동,승강장 및 대합실,30.9,16.9,485,4.4,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",양천구,2022,5호선,오목교,승강장 및 대합실,28.2,15.1,510,4.5,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",영등포구,2022,5호선,양평,승강장 및 대합실,29.8,14.3,482,4.8,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",영등포구,2022,5호선,영등포구청(5),승강장 및 대합실,26.4,13,533,4.1,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",영등포구,2022,5호선,영등포시장,승강장 및 대합실,32.6,17.5,501,4.9,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",영등포구,2022,5호선,신길(5),승강장 및 대합실,26.1,13.3,756,7.1,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",영등포구,2022,5호선,여의도,승강장 및 대합실,49.3,21.8,826,8.6,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",영등포구,2022,5호선,여의나루,승강장 및 대합실,42.2,19.1,658,6.6,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,5호선,마포,승강장 및 대합실,46,20.1,419,7.8,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,5호선,공덕(5),승강장 및 대합실,25,12.3,444,6.2,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,5호선,애오개,승강장 및 대합실,35.9,17.6,456,4.7,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",서대문구,2022,5호선,충정로(5),승강장 및 대합실,29.5,15.6,438,5.4,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,5호선,서대문,승강장 및 대합실,29.6,16.6,406,5.3,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,5호선,광화문,승강장 및 대합실,30.4,14.1,514,5.8,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,5호선,종로3가(5),승강장 및 대합실,44.3,21,478,7.8,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,5호선,을지로4가(5),승강장 및 대합실,32.9,15.3,381,5,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,5호선,동대문역사문화공원(5),승강장 및 대합실,32.7,17,350,8.5,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,5호선,청구(5),승강장 및 대합실,36.9,16.8,342,7.4,1,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,5호선,신금호,승강장 및 대합실,29.4,15.4,381,4.6,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,5호선,행당,승강장 및 대합실,21.4,10.9,341,3.2,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,5호선,왕십리(5),승강장 및 대합실,27.6,14.8,507,7.9,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,5호선,마장,승강장 및 대합실,32.1,16.6,407,7.8,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,5호선,답십리,승강장 및 대합실,26.9,14,395,8.3,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",동대문구,2022,5호선,장한평,승강장 및 대합실,47.4,22.4,431,6.6,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",광진구,2022,5호선,군자(5),승강장 및 대합실,31.4,13.7,481,7.8,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",광진구,2022,5호선,아차산,승강장 및 대합실,42,21.4,429,8.7,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",광진구,2022,5호선,광나루,승강장 및 대합실,30.6,19.6,411,8.8,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,천호(5),승강장 및 대합실,59.1,27.9,433,6.6,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,강동,승강장 및 대합실,29,15.9,484,8,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,길동,승강장 및 대합실,38.5,19.7,495,6.9,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,굽은다리,승강장 및 대합실,30.9,18.2,501,7.9,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,명일,승강장 및 대합실,45.1,29.2,503,6.2,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,고덕,승강장 및 대합실,39.1,19.2,484,6.8,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,상일동,승강장 및 대합실,50.1,23.5,533,6.1,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,강일,승강장 및 대합실,40.5,22.3,453,6.2,0.4,0,0,0,서울교통공사,2023-07-11
"경기도",하남시,2022,5호선,미사,승강장 및 대합실,51.6,30.9,469,7.3,0.5,0,0,0,서울교통공사,2023-07-11
"경기도",하남시,2022,5호선,하남풍산,승강장 및 대합실,41.6,22.9,456,9.2,0.5,0,0,0,서울교통공사,2023-07-11
"경기도",하남시,2022,5호선,하남시청,승강장 및 대합실,35.3,21.3,481,5.4,0.6,0,0,0,서울교통공사,2023-07-11
"경기도",하남시,2022,5호선,하남검단산,승강장 및 대합실,26.5,16.4,463,6.4,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",강동구,2022,5호선,둔촌동,승강장 및 대합실,34,23.3,523,7.9,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,5호선,올림픽공원(5),승강장 및 대합실,34.1,23.6,496,8.8,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,5호선,방이,승강장 및 대합실,31.7,16.4,482,6.6,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,5호선,오금(5),승강장 및 대합실,28.9,17.4,463,6.8,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,5호선,개롱,승강장 및 대합실,29.9,20,474,5.7,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,5호선,거여,승강장 및 대합실,30.6,19.4,486,7.5,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,5호선,마천,승강장 및 대합실,35.7,21.2,489,2.9,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,응암,승강장 및 대합실,50.4,29.9,514,10.9,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,역촌,승강장 및 대합실,56,37.7,494,14.9,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,불광(6),승강장 및 대합실,38.8,26.9,558,16.5,1,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,독바위,승강장 및 대합실,25.5,17.3,447,8.7,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,연신내(6),승강장 및 대합실,38.3,24.9,534,9,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,구산,승강장 및 대합실,31.6,19.6,479,8.3,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,새절,승강장 및 대합실,31.3,19.4,481,6.5,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,증산,승강장 및 대합실,32.6,15.7,478,6.1,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",은평구,2022,6호선,디지털미디어시티(6),승강장 및 대합실,34.8,16.1,500,3.8,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,6호선,월드컵경기장,승강장 및 대합실,27.7,15.9,454,6.3,0.3,0,0,0,서울교통공사,2023-07-11
